1398,Ford,Probe,Goldenrod,1992
1908,Suzuki,Esteem,Aquamarine,1999
1637,Toyota,4Runner,Red,2008
1076,Dodge,Dakota Club,Orange,2004
1871,Ford,Flex,Khaki,2010
1544,Cadillac,CTS,Indigo,2003
1280,Chevrolet,Metro,Green,1999
1905,Alfa Romeo,Spider,Fuscia,1994
1729,Nissan,Maxima,Khaki,2012
1804,Mitsubishi,Precis,Purple,1994
1124,Toyota,Corolla,Blue,1999
1692,Nissan,350Z,Mauv,2003
1518,Dodge,Ram 2500 Club,Indigo,1997
1602,Jeep,Patriot,Mauv,2010
1897,Audi,RS 6,Crimson,2003
1072,Volkswagen,Golf III,Pink,1994
1553,Ford,Crown Victoria,Aquamarine,2010
1532,GMC,Vandura G3500,Pink,1995
1710,Mazda,B2500,Khaki,2001
1579,Chevrolet,Tahoe,Red,2003
1013,Mitsubishi,Outlander,Goldenrod,2003
1185,Mitsubishi,Eclipse,Mauv,1994
1490,Nissan,NV1500,Purple,2012
1711,Ford,Explorer,Pink,2007
1546,Dodge,Dakota Club,Mauv,2001
1195,Kia,Sedona,Maroon,2006
1445,Chrysler,Town & Country,Crimson,1995
1232,Toyota,Corolla,Turquoise,2009
1404,Plymouth,Reliant,Crimson,1981
1668,Kia,Sorento,Purple,2004
1541,Mercedes-Benz,E-Class,Red,1985
1810,Chevrolet,Camaro,Khaki,1977
1261,Mitsubishi,GTO,Orange,1997
1706,Ford,E350,Aquamarine,2008
1828,Nissan,Armada,Orange,2005
1443,Audi,S8,Aquamarine,2002
1220,Mazda,Millenia,Aquamarine,1995
1027,Audi,A4,Green,2001
1562,Suzuki,Swift,Turquoise,1996
1093,Jeep,Cherokee,Blue,2001
1423,Pontiac,Bonneville,Fuscia,2001
1264,Acura,MDX,Aquamarine,2004
1095,Mazda,Mazda5,Maroon,2010
1025,Kia,Sedona,Pink,2003
1015,Saab,9-5,Turquoise,2003
1922,Chevrolet,Impala SS,Fuscia,1995
1556,Jaguar,XJ Series,Red,2002
1281,Kia,Mentor,Violet,1997
1239,Chevrolet,Cobalt,Puce,2008
1891,Honda,del Sol,Teal,1996
1802,Mazda,MPV,Fuscia,2002
1333,Porsche,911,Khaki,1988
1593,Mercury,Capri,Crimson,1985
1518,Ford,Bronco,Violet,1990
1732,Ford,Probe,Blue,1993
1725,Mercury,Cougar,Red,1985
1383,Subaru,Loyale,Goldenrod,1991
1631,Hyundai,Santa Fe,Yellow,2008
1034,Chrysler,Town & Country,Blue,2011
1427,Suzuki,Equator,Green,2012
1569,Volkswagen,Passat,Purple,1991
1264,Land Rover,LR4,Red,2010
1637,GMC,Suburban 2500,Red,1997
1996,Buick,Century,Khaki,1994
1395,Lexus,RX Hybrid,Red,2010
1546,Buick,Regal,Red,1998
1994,Infiniti,FX,Violet,2006
1930,Volkswagen,New Beetle,Maroon,2010
1427,Geo,Prizm,Yellow,1995
1904,Hyundai,Accent,Teal,2005
1444,Mercury,Mystique,Orange,1995
1091,Chevrolet,Suburban,Pink,2007
1694,Ford,Taurus,Yellow,1998
1097,Lincoln,Navigator,Turquoise,2006
1903,Nissan,GT-R,Green,2012
1091,Dodge,Viper,Pink,2003
1506,Jeep,Wrangler,Crimson,1995
1820,Acura,Integra,Mauv,2000
1659,Audi,S5,Fuscia,2012
1483,Lexus,LS,Indigo,1991
1372,Hyundai,Scoupe,Fuscia,1992
1896,Cadillac,Escalade ESV,Pink,2003
1764,Chrysler,300,Pink,2008
1941,Infiniti,I,Orange,1999
1677,Dodge,Viper,Khaki,1994
1419,Dodge,Neon,Puce,2002
1557,Audi,S6,Mauv,1995
1064,Isuzu,i-370,Goldenrod,2008
1119,Infiniti,G35,Orange,2004
1421,Pontiac,Grand Prix,Mauv,1993
1066,Mercedes-Benz,SLS AMG,Fuscia,2011
1268,Audi,5000S,Turquoise,1986
1571,Ford,Ranger,Orange,2004
1777,Audi,S4,Violet,2000
1384,Kia,Sportage,Orange,1997
1011,Kia,Sportage,Violet,2001
1262,GMC,Suburban 2500,Yellow,1994
1228,Lexus,LX,Indigo,2004
1202,Lincoln,Navigator L,Orange,2009
1947,GMC,1500,Blue,1992
